,signal_id,good_noise_effect,note
169,180523_06_2,,
170,180523_07_1,,
171,180523_07_3,,
172,180523_08_2,,
173,180523_09_2,,
174,180523_10_2,,
175,180523_11_2,,
176,180523_12_1,,
177,180523_13_2,,
178,180523_14_1,,
179,180523_15_2,,
180,180523_16_2,,
181,180530_05_1,,
182,180530_06_2,,
183,180530_07_2,,
184,180530_08_2,,
185,180530_09_1,1,
186,180530_10_2,1,
187,180530_11_1,1,
188,180530_12_1,1,
189,180530_13_2,1,
190,180530_14_1,1,
191,180530_15_1,,
192,180530_16_2,,
193,180603_03_1,,
194,180603_04_2,,
195,180603_05_2,,
196,180603_06_1,,
197,180603_06_2,,
198,180603_07_1,,
199,180603_07_2,,
200,180603_08_2,,
201,180603_09_1,,
202,180603_10_2,,
203,180603_11_2,,
204,180603_12_2,,
205,180606_05_1,,
206,180606_06_1,,
207,180606_06_2,,
208,180606_06_3,,
209,180606_07_1,,
210,180606_07_2,,
211,180606_08_1,1,
212,180606_09_1,,
213,180606_10_1,,
214,180606_10_3,,
215,180606_11_2,1,
216,180606_12_1,1,
217,180606_13_2,,
218,180606_13_3,,
219,180606_14_2,1,
220,180606_15_1,1,
221,180610_03_2,,
222,180610_04_1,,
223,180610_04_2,,suppressed
224,180610_05_1,,
225,180610_06_2,,
226,180610_07_2,,
227,180610_08_2,,
228,180610_09_1,1,
229,180610_10_1,1,
230,180610_11_1,1,
231,180610_12_1,,
232,180610_13_2,,
233,180610_14_2,,
234,180614_03_2,1,
235,180614_04_2,,
236,180614_05_2,,
237,180614_06_2,,
238,180614_07_2,,
239,180614_08_2,,
240,180614_09_2,,
241,180614_10_2,,
242,180614_11_1,,
243,180617_03_1,,
244,180617_04_1,,
245,180617_05_1,,
246,180617_06_2,,
247,180617_07_1,,
248,180617_09_1,,
249,180617_14_1,,
250,180617_15_1,,
251,180617_16_1,,
252,180620_09_1,1,
253,180620_10_1,,
254,180620_10_2,,
255,180620_11_2,,
256,180620_12_2,,
257,180620_13_2,1,
258,180620_14_2,,
259,180620_15_2,,
260,180620_16_1,1,
261,180620_16_2,,
262,180622_03_2,,
263,180622_05_2,,
264,180622_06_1,,
265,180622_07_1,,
266,180622_07_2,,
267,180622_08_1,,
268,180622_09_2,,
269,180622_10_2,,
270,180622_11_2,,
271,180622_12_2,,
272,180622_13_2,,
273,180622_14_1,,
274,180622_16_1,,
275,180624_03_1,,
276,180624_05_2,,
277,180624_07_2,1,
278,180624_08_1,,
279,180624_08_2, ,
280,180624_09_1,,
281,180624_10_1,,
282,180624_11_2,,
283,180624_12_2,,
284,180624_13_1,,
285,180624_13_2,,
